DSCC1,ENSG00000136982
SYNJ1,ENSG00000159082
SSR4,ENSG00000180879
PTPN6,ENSG00000111679
FEM1B,ENSG00000169018
DHRS2,ENSG00000100867
PANK4,ENSG00000157881
CSTF2T,ENSG00000177613
PQBP1,ENSG00000102103
ISLR2,ENSG00000167178
VPS41,ENSG00000006715
GHITM,ENSG00000165678
C12orf45,ENSG00000151131
FITM1,ENSG00000139914
ICMT,ENSG00000116237
FAM199X,ENSG00000123575
OSR1,ENSG00000143867
CCDC8,ENSG00000169515
C1GALT1,ENSG00000106392
NAV3,ENSG00000067798
KCTD15,ENSG00000153885
FCAR,ENSG00000186431
CEP85,ENSG00000130695
RAB3IL1,ENSG00000167994
EDC4,ENSG00000038358
WDR83,ENSG00000123154
PAX3,ENSG00000135903
ENTPD2,ENSG00000054179
NRP2,ENSG00000118257
SOX9,ENSG00000125398
TUBE1,ENSG00000074935
LETM1,ENSG00000168924
CARS2,ENSG00000134905
GTF2H1,ENSG00000110768
SNX29,ENSG00000048471
ARMCX6,ENSG00000198960
ETV3L,ENSG00000253831
SUB1,ENSG00000113387
TREML2,ENSG00000112195
UBE2M,ENSG00000130725
EME2,ENSG00000197774
TEX264,ENSG00000164081
MAD2L2,ENSG00000116670
HNF1A,ENSG00000135100
RNF222,ENSG00000189051
ABCB6,ENSG00000115657
PTPRZ1,ENSG00000106278
PAF1,ENSG00000006712
PRODH,ENSG00000100033
SMCR8,ENSG00000176994
FGD4,ENSG00000139132
FUT10,ENSG00000172728
ZFP62,ENSG00000196670
ICAM3,ENSG00000076662
PLEKHM1,ENSG00000225190
SYT10,ENSG00000110975
EHF,ENSG00000135373
SCARA5,ENSG00000168079
DKK4,ENSG00000104371
TAS2R1,ENSG00000169777
METRN,ENSG00000103260
GSDMD,ENSG00000104518
GCSAM,ENSG00000174500
RHCE,ENSG00000188672
KIF25,ENSG00000125337
KCNA4,ENSG00000182255
C11orf21,ENSG00000110665
TIMM21,ENSG00000075336
ATP6V0D1,ENSG00000159720
ZSCAN1,ENSG00000152467
TEX29,ENSG00000153495
BTLA,ENSG00000186265
BTNL3,ENSG00000168903
SAMD1,ENSG00000141858
FOXN1,ENSG00000109101
WNT8B,ENSG00000075290
EML5,ENSG00000165521
CYBA,ENSG00000051523
GPR42,ENSG00000126251
IL1RN,ENSG00000136689
PFKM,ENSG00000152556
KCNT2,ENSG00000162687
RPA1,ENSG00000132383
SMTN,ENSG00000183963
CUL3,ENSG00000036257
BTBD19,ENSG00000222009
ARPC5,ENSG00000162704
TMEM107,ENSG00000179029
SBK2,ENSG00000187550
AGL,ENSG00000162688
ATP2A2,ENSG00000174437
UBR7,ENSG00000012963
TSPYL2,ENSG00000184205
FEZ1,ENSG00000149557
SIRT2,ENSG00000068903
STX8,ENSG00000170310
VLDLR,ENSG00000147852
DCAF4,ENSG00000119599
EIF2D,ENSG00000143486
XBP1,ENSG00000100219
PIGL,ENSG00000108474
SCG3,ENSG00000104112
MSANTD3,ENSG00000066697
WDR24,ENSG00000127580
COL10A1,ENSG00000123500
LASP1,ENSG00000002834
KIF26A,ENSG00000066735
MED7,ENSG00000155868
TOMM6,ENSG00000214736
GANC,ENSG00000214013
PSENEN,ENSG00000205155
PSRC1,ENSG00000134222
GDF9,ENSG00000164404
PCDHB14,ENSG00000120327
ZNF778,ENSG00000170100
CNIH4,ENSG00000143771
TGM2,ENSG00000198959
ZFP1,ENSG00000184517
CCL11,ENSG00000172156
TMEM74,ENSG00000164841
MTX1,ENSG00000173171
ZYG11B,ENSG00000162378
SDR9C7,ENSG00000170426
ESAM,ENSG00000149564
ENKUR,ENSG00000151023
TTC39B,ENSG00000155158
RNASE13,ENSG00000206150
CHRNB4,ENSG00000117971
BLCAP,ENSG00000166619
CHFR,ENSG00000072609
REM2,ENSG00000139890
ZNF473,ENSG00000142528
PLEKHG7,ENSG00000187510
RBM4B,ENSG00000173914
RASAL2,ENSG00000075391
AFMID,ENSG00000183077
FAM187B,ENSG00000177558
FBXO27,ENSG00000161243
GTSCR1,ENSG00000263417
KRTAP4-4,ENSG00000171396
RASL10B,ENSG00000270885
PIP5K1B,ENSG00000107242
KIAA0100,ENSG00000007202
ZNF780B,ENSG00000128000
FABP2,ENSG00000145384
BIN1,ENSG00000136717
LHX2,ENSG00000106689
B3GALT1,ENSG00000172318
DALRD3,ENSG00000178149
GBP4,ENSG00000162654
TBL1Y,ENSG00000092377
SEC16A,ENSG00000148396
CCL17,ENSG00000102970
SH2D3C,ENSG00000095370
FAM3B,ENSG00000183844
TMOD2,ENSG00000128872
RPS11,ENSG00000142534
SCAPER,ENSG00000140386
FANCB,ENSG00000181544
NTN1,ENSG00000065320
SIMC1,ENSG00000170085
EIF4G1,ENSG00000114867
PPP2R3B,ENSG00000167393
MESP2,ENSG00000188095
NOMO1,ENSG00000103512
INO80E,ENSG00000169592
GCSAML,ENSG00000169224
ECSIT,ENSG00000130159
CCL3,ENSG00000277632
ERLEC1,ENSG00000068912
ZNF256,ENSG00000152454
HOXB5,ENSG00000120075
RMND1,ENSG00000155906
ESYT1,ENSG00000139641
SLC22A18,ENSG00000110628
SPATA13,ENSG00000182957
TTPAL,ENSG00000124120
ZNF250,ENSG00000196150
TKTL1,ENSG00000007350
CRLF3,ENSG00000176390
PNPLA4,ENSG00000006757
DUSP5,ENSG00000138166
PGK1,ENSG00000102144
RPS16,ENSG00000105193
AHNAK,ENSG00000124942
MAPRE2,ENSG00000166974
PIK3CD,ENSG00000171608
ZNF469,ENSG00000225614
CYP51A1,ENSG00000001630
MRPL14,ENSG00000180992
AMDHD1,ENSG00000139344
FTSJ3,ENSG00000108592
C19orf33,ENSG00000167644
HDHD3,ENSG00000119431
LINC00632,ENSG00000203930
C5orf49,ENSG00000215217
CXCL2,ENSG00000081041
THSD4,ENSG00000187720
PRSS27,ENSG00000172382
SLC35F5,ENSG00000115084
PMAIP1,ENSG00000141682
KDM1A,ENSG00000004487
HTATSF1,ENSG00000102241
HTRA2,ENSG00000115317
EHD1,ENSG00000110047
LGALS7,ENSG00000205076
JUP,ENSG00000173801
PHACTR1,ENSG00000112137
SGK1,ENSG00000118515
ZNF799,ENSG00000196466
SEC13,ENSG00000157020
FAM107A,ENSG00000168309
SMCO1,ENSG00000214097
CXXC1,ENSG00000154832
CXCL16,ENSG00000161921
ZNF586,ENSG00000083828
ADH6,ENSG00000172955
SYCP3,ENSG00000139351
TAS2R20,ENSG00000255837
SPG11,ENSG00000104133
MIS18BP1,ENSG00000129534
HIST3H3,ENSG00000168148
WBP1L,ENSG00000166272
POLR2H,ENSG00000163882
PFKL,ENSG00000141959
HOXD13,ENSG00000128714
ULBP2,ENSG00000131015
GRIP1,ENSG00000155974
SDC4,ENSG00000124145
KIAA1614,ENSG00000135835
MAP4,ENSG00000047849
CABP4,ENSG00000175544
FADS3,ENSG00000221968
CEP19,ENSG00000174007
SENP7,ENSG00000138468
N4BP1,ENSG00000102921
OLAH,ENSG00000152463
GPX2,ENSG00000176153
TTLL1,ENSG00000100271
SMPD1,ENSG00000166311
STX10,ENSG00000104915
ARAP3,ENSG00000120318
JUN,ENSG00000177606
CCDC88C,ENSG00000015133
EPGN,ENSG00000182585
CDK11A,ENSG00000008128
XPNPEP3,ENSG00000196236
PRICKLE3,ENSG00000012211
FAM200A,ENSG00000221909
LRP10,ENSG00000197324
KRT12,ENSG00000187242
PRKACB,ENSG00000142875
VBP1,ENSG00000155959
TGM4,ENSG00000163810
THOC3,ENSG00000051596
DLEU1,ENSG00000176124
FBXL20,ENSG00000108306
PCYOX1,ENSG00000116005
ZFPL1,ENSG00000162300
DDAH2,ENSG00000213722
ACTN1,ENSG00000072110
IL18R1,ENSG00000115604
WNK2,ENSG00000165238
CPOX,ENSG00000080819
UBE3B,ENSG00000151148
ZNRF3,ENSG00000183579
ANGEL2,ENSG00000174606
SCGB3A1,ENSG00000161055
PSMG1,ENSG00000183527
DHX15,ENSG00000109606
